codigo,descricao,grupo,total_movimento,data_baixa,estoque_minimo,tempo_reposicao,ano,mes
7171,CONJ.8335/8336 MR (LENTE+QUADRO),INJETADOS,18,2024-05-28 00:00:00.000,521,12,2024,5
7721,TRAVESSA INJ DUPLA 2 PARAF M4,MONTADOS,18,2024-05-28 00:00:00.000,1785,12,2024,5
9288,PORCA PASSANTE MARROM INJETADA,INJETADOS,36,2024-05-28 00:00:00.000,490,12,2024,5
10552,COPO AL 45MM BRANCO,PINTURA,6,2025-06-16 00:00:00.000,10,1,2025,6
10735,CONJUNTO TUBO AL BRANCO 81053,PINTURA,6,2025-06-16 00:00:00.000,6,1,2025,6
10744,CONJ TUBO+BUCHA BRANCO ARANDELA 81053,PINTURA,6,2025-06-16 00:00:00.000,0,1,2025,6
10156,PORCA AL USINA 1/2ROSCA INT M10 BRANCO,PINTURA,12,2025-06-16 00:00:00.000,30,1,2025,6
10375,SOQUETE TERMO P/ ABAJUR BRANCO- ID 08,ELÉTRICO,6,2025-06-16 00:00:00.000,100,7,2025,6
10376,CX PAP SIMPLES KRAFT REF 81050,EMBALAGEM,6,2025-06-16 00:00:00.000,17,10,2025,6
10378,CUPULA CONICA 8X17X12 TECIDO BRANCO,ABAJUR,6,2025-06-16 00:00:00.000,22,25,2025,6
10447,"ROTULO LINHA TORONTO REF:81053=12X9,5CM",EMBALAGEM,6,2025-06-16 00:00:00.000,500,0,2025,6
10550,"DISCO AL 130X26X0,90  2 FUROS BRANCO",PINTURA,6,2025-06-16 00:00:00.000,0,1,2025,6
9518,PINHAO INJ MARROM 8382/83/84 LINHA IOWA,INJETADOS,8,2024-12-17 00:00:00.000,30,12,2024,12
569,TRAVESSA INJ PR,INJETADOS,6,2025-06-16 00:00:00.000,2000,12,2025,6
798,CX SIMPLES MASTER 620x177x450 REF-8113,EMBALAGEM,"1,002",2025-06-16 00:00:00.000,40,10,2025,6
6346,CABO 45 CM  PARAL PR TARJADO,ELÉTRICO,6,2025-06-16 00:00:00.000,500,15,2025,6
7430,"ARRUELA ACO DENTADA INT 10X18X0,9 ZB",FIXAÇÃO,6,2025-06-16 00:00:00.000,365,3,2025,6
